id,name,x,y,z
313,mL1_L-75,2059,1654,-194.0
314,mL1_L-76,1945,1737,-194.0
315,mL1_L-77,2088,1620,-194.0
316,mL1_L-78,2066,1579,-194.0
317,mL1_L-79,2188,1631,-194.0
318,mL1_L-8,2699,897,-194.0
319,mL1_L-80,2013,1952,-194.0
320,mL1_L-81,2136,1941,-194.0
321,mL1_L-82,2139,2008,-194.0
322,mL1_L-83,2009,1998,-194.0
323,mL1_L-84,2915,1299,-194.0
324,mL1_L-85,2947,1360,-194.0
325,mL1_L-86,2627,2118,-194.0
326,mL1_L-87,2665,2132,-194.0
327,mL1_L-88,2798,2063,-194.0
328,mL1_L-89,2873,1984,-194.0
329,mL1_L-9,2725,890,-194.0
330,mL1_L-90,3006,1715,-194.0
331,mL1_L-91,3001,1627,-194.0
332,mL1_L-92,2966,1351,-194.0
333,mL1_L-93,2913,1258,-194.0
334,mL1_L-94,2895,1186,-194.0
335,mL1_L-95,2841,1080,-194.0
336,mL1_L-96,2809,1044,-194.0
337,mL1_L-97,2627,907,-194.0
338,mL1_L-98,1510,983,-194.0
339,mL1_L-99,1432,1080,-194.0
340,mL2-L3-1,2091,2185,-237.0
341,mL2-L3-10,2154,2222,-237.0
342,mL2-L3-11,1645,2301,-237.0
343,mL2-L3-12,1204,1933,-237.0
344,mL2-L3-13,1297,1950,-237.0
345,mL2-L3-14,1407,2021,-237.0
346,mL2-L3-15,1424,2000,-237.0
347,mL2-L3-16,1471,2038,-237.0
348,mL2-L3-17,1602,2042,-237.0
349,mL2-L3-18,2601,2090,-237.0
350,mL2-L3-19,2603,2279,-237.0
351,mL2-L3-2,2104,712,-237.0
352,mL2-L3-20,2921,1991,-237.0
353,mL2-L3-21,2782,2039,-237.0
354,mL2-L3-22,2714,2077,-237.0
355,mL2-L3-23,2957,1716,-237.0
356,mL2-L3-24,2976,1718,-237.0
357,mL2-L3-25,2998,1663,-237.0
358,mL2-L3-26,2978,1668,-237.0
359,mL2-L3-27,1199,1691,-237.0
360,mL2-L3-28,1226,1693,-237.0
361,mL2-L3-29,1245,1796,-237.0
362,mL2-L3-3,1939,1823,-237.0
363,mL2-L3-30,1209,1807,-237.0
364,mL2-L3-31,1519,2127,-237.0
365,mL2-L3-32,2629,2143,-237.0
366,mL2-L3-33,2507,1847,-237.0
367,mL2-L3-34,1683,1858,-237.0
368,mL2-L3-35,1865,1966,-237.0
369,mL2-L3-36,2275,1923,-237.0
370,mL2-L3-37,1676,878,-237.0
371,mL2-L3-38,1600,896,-237.0
372,mL2-L3-39,1390,1036,-237.0
373,mL2-L3-4,1950,1639,-237.0
374,mL2-L3-40,1403,1057,-237.0
375,mL2-L3-41,1241,1627,-237.0
376,mL2-L3-42,2827,1086,-237.0
377,mL2-L3-43,2652,910,-237.0
378,mL2-L3-44,2570,894,-237.0
379,mL2-L3-45,1786,1983,-237.0
380,mL2-L3-46,1952,1982,-237.0
381,mL2-L3-47,2844,1052,-237.0
382,mL2-L3-48,2234,2003,-237.0
383,mL2-L3-49,1494,909,-237.0
384,mL2-L3-5,2255,1610,-237.0
385,mL2-L3-50,2691,893,-237.0
386,mL2-L3-6,2269,1849,-237.0
387,mL2-L3-7,2233,1940,-237.0
388,mL2-L3-8,1980,1932,-237.0
389,mL2-L3-9,2019,2221,-237.0
390,mL2_H-1,2129,704,-223.0
391,mL2_H-10,2236,1850,-223.0
392,mL2_H-11,2227,1669,-223.0
393,mL2_H-12,2174,1622,-223.0
394,mL2_H-13,2083,1611,-223.0
395,mL2_H-14,2002,1657,-223.0
396,mL2_H-15,1965,1700,-223.0
397,mL2_H-16,1569,2070,-223.0
398,mL2_H-17,2601,2094,-223.0
399,mL2_H-18,2679,2096,-223.0
400,mL2_H-19,2726,2083,-223.0
401,mL2_H-2,2083,2202,-223.0
402,mL2_H-20,2703,2068,-223.0
403,mL2_H-21,1541,2086,-223.0
404,mL2_H-22,1454,2073,-223.0
405,mL2_H-23,1477,2057,-223.0
406,mL2_H-24,1716,2368,-223.0
407,mL2_H-25,2454,2395,-223.0
408,mL2_H-26,2637,2184,-223.0
409,mL2_H-27,1541,2222,-223.0
410,mL2_H-28,1237,1924,-223.0
411,mL2_H-29,1190,1830,-223.0
412,mL2_H-3,2028,1961,-223.0
413,mL2_H-30,1231,1823,-223.0
414,mL2_H-31,1269,1911,-223.0
415,mL2_H-32,1172,1508,-223.0
416,mL2_H-33,1215,1515,-223.0
417,mL2_H-34,1198,1392,-223.0
418,mL2_H-35,1239,1399,-223.0
419,mL2_H-36,1276,1185,-223.0
420,mL2_H-37,1298,1199,-223.0
421,mL2_H-38,1302,1159,-223.0
422,mL2_H-39,1319,1170,-223.0
423,mL2_H-4,2165,1965,-223.0
424,mL2_H-40,1587,895,-223.0
425,mL2_H-41,1714,854,-223.0
426,mL2_H-42,2534,852,-223.0
427,mL2_H-43,2666,900,-223.0
428,mL2_H-44,2705,890,-223.0
429,mL2_H-45,1502,882,-223.0
430,mL2_H-46,2467,1879,-223.0
431,mL2_H-47,2261,1921,-223.0
432,mL2_H-48,1856,1960,-223.0
433,mL2_H-49,1685,1898,-223.0
434,mL2_H-5,2241,2007,-223.0
435,mL2_H-50,2814,2050,-223.0
436,mL2_H-51,1301,2015,-223.0
437,mL2_H-52,2939,1334,-223.0
438,mL2_H-53,2973,1368,-223.0
439,mL2_H-54,2993,1480,-223.0
440,mL2_H-55,2959,1471,-223.0
441,mL2_H-56,2958,1618,-223.0
442,mL2_H-57,2975,1786,-223.0
443,mL2_H-58,2944,1784,-223.0
444,mL2_H-59,2913,1882,-223.0
445,mL2_H-6,1942,2033,-223.0
446,mL2_H-60,2932,1889,-223.0
447,mL2_H-61,1945,1900,-223.0
448,mL2_H-62,2240,1701,-223.0
449,mL2_H-63,2246,1783,-223.0
450,mL2_H-64,2190,2038,-223.0
