id,name,x,y,z,x1,y1,z1,x2,y2,z2
45,mL1-L2-16,-166.7792078,148.2930838,-201,1029,1159,201,1672,1159,201
46,mL1-L2-17,-163.8585318,145.7160168,-201,1011,1139,201,1690,1139,201
47,mL1-L2-18,-179.8363475,103.2803128,-201,716,1250,201,1985,1250,201
48,mL1-L2-19,-182.9288279,105.6855754,-201,733,1271,201,1968,1271,201
49,mL1-L2-2,-300.2712804,63.07806704,-201,437,2086,201,2264,2086,201
50,mL1-L2-20,-192.8934872,95.03369832,-201,659,1341,201,2042,1341,201
51,mL1-L2-21,-191.003638,93.31565363,-201,647,1327,201,2054,1327,201
52,mL1-L2-22,-184.4750682,97.09535196,-201,673,1282,201,2028,1282,201
53,mL1-L2-23,-222.7874648,84.21001676,-201,584,1548,201,2117,1548,201
54,mL1-L2-24,-233.4393419,86.09986592,-201,597,1622,201,2104,1622,201
55,mL1-L2-26,-234.2983642,80.77392737,-201,560,1628,201,2141,1628,201
56,mL1-L2-27,-226.0517497,80.60212291,-201,559,1571,201,2142,1571,201
57,mL1-L2-28,-298.3814313,69.4348324,-201,481,2073,201,2220,2073,201
58,mL1-L2-29,-304.3945877,69.09122346,-201,479,2115,201,2222,2115,201
59,mL1-L2-3,-222.1002469,270.1024525,-201,1875,1543,201,826,1543,201
60,mL1-L2-30,-280.8573754,97.61076536,-201,677,1951,201,2024,1951,201
61,mL1-L2-31,-278.1085039,115.1348212,-201,799,1932,201,1902,1932,201
62,mL1-L2-32,-275.1878279,134.2051173,-201,931,1912,201,1770,1912,201
63,mL1-L2-33,-278.6239173,142.2799274,-201,987,1936,201,1714,1936,201
64,mL1-L2-34,-296.1479732,152.2445866,-201,1056,2058,201,1645,2058,201
65,mL1-L2-35,-310.0641352,150.5265419,-201,1044,2154,201,1657,2154,201
66,mL1-L2-36,-314.8746603,147.6058659,-201,1024,2188,201,1677,2188,201
67,mL1-L2-37,-321.4032302,142.2799274,-201,987,2233,201,1714,2233,201
68,mL1-L2-38,-321.4032302,114.2757989,-201,793,2233,201,1908,2233,201
69,mL1-L2-39,-317.9671408,97.78256983,-201,678,2209,201,2023,2209,201
70,mL1-L2-4,-218.4923531,262.8866648,-201,1825,1518,201,876,1518,201
71,mL1-L2-40,-310.4077441,65.82693855,-201,456,2157,201,2245,2157,201
72,mL1-L2-41,-289.4475989,65.65513408,-201,455,2011,201,2246,2011,201
73,mL1-L2-42,-349.9227721,42.80513966,-201,296,2431,201,2405,2431,201
74,mL1-L2-43,-251.3070067,45.03859777,-201,312,1746,201,2389,1746,201
75,mL1-L2-44,-376.2088559,80.43031844,-201,558,2614,201,2143,2614,201
76,mL1-L2-45,-377.9269006,84.38182123,-201,585,2625,201,2116,2625,201
77,mL1-L2-46,-368.1340458,85.41264804,-201,592,2557,201,2109,2557,201
78,mL1-L2-47,-366.2441966,83.17918994,-201,577,2544,201,2124,2544,201
79,mL1-L2-48,-332.0551073,105.170162,-201,729,2307,201,1972,2307,201
80,mL1-L2-49,-340.4735263,111.3551229,-201,772,2365,201,1929,2365,201
81,mL1-L2-5,-226.2235542,261.855838,-201,1817,1572,201,884,1572,201
82,mL1-L2-50,-214.1972413,69.77844134,-201,484,1488,201,2217,1488,201
83,mL1-L2-51,-220.8976156,59.81378212,-201,414,1535,201,2287,1535,201
84,mL1-L2-52,-246.1528726,106.5445978,-201,739,1710,201,1962,1710,201
85,mL1-L2-53,-269.5182804,104.4829441,-201,725,1873,201,1976,1873,201
86,mL1-L2-54,-406.1028335,96.75174302,-201,671,2821,201,2030,2821,201
87,mL1-L2-55,-409.3671184,94.86189385,-201,658,2844,201,2043,2844,201
88,mL1-L2-56,-419.8471911,106.5445978,-201,739,2917,201,1962,2917,201
89,mL1-L2-57,-415.8956883,107.4036201,-201,745,2889,201,1956,2889,201
90,mL1-L2-58,-432.0453084,148.2930838,-201,1029,3001,201,1672,3001,201
91,mL1-L2-59,-437.1994425,148.4648883,-201,1030,3037,201,1671,3037,201
92,mL1-L2-6,-257.6637721,271.3050838,-201,1883,1790,201,818,1790,201
93,mL1-L2-60,-436.1686156,160.4912011,-201,1114,3030,201,1587,3030,201
94,mL1-L2-61,-430.6708726,161.6938324,-201,1122,2992,201,1579,2992,201
95,mL1-L2-62,-426.032152,208.768257,-201,1449,2960,201,1252,2960,201
96,mL1-L2-63,-420.7062134,206.7066034,-201,1434,2923,201,1267,2923,201
97,mL1-L2-64,-415.0366659,236.7723855,-201,1643,2883,201,1058,2883,201
98,mL1-L2-65,-411.6005765,229.3847933,-201,1592,2859,201,1109,2859,201
99,mL1-L2-66,-154.9246994,135.5795531,-201,941,1077,201,1760,1077,201
100,mL1-L2-67,-171.589733,108.7780559,-201,754,1193,201,1947,1193,201
101,mL1-L2-68,-175.8848447,111.3551229,-201,772,1222,201,1929,1222,201
102,mL1-L2-69,-437.1994425,123.7250447,-201,858,3037,201,1843,3037,201
103,mL1-L2-7,-391.3276492,263.4020782,-201,1828,2719,201,873,2719,201
104,mL1-L2-70,-424.6577162,108.9498603,-201,756,2950,201,1945,2950,201
105,mL1-L2-71,-422.0806492,111.6987318,-201,775,2932,201,1926,2932,201
106,mL1-L2-72,-193.924314,81.80475419,-201,567,1348,201,2134,1348,201
107,mL1-L2-73,-390.9840402,71.15287709,-201,493,2716,201,2208,2716,201
